decision_id,topic,status,priority,owner_role,source_basis,decision_needed,blocking_impact,next_action,notes
DEC-DEV-001,implementation runtime and language,Open,P0,technical_owner,ENVIRONMENT_DISCOVERY,dotnet C# vs Python standard-library runtime,M1 implementation structure,Review environment and approve runtime before M1,Do not close from tool availability alone.
DEC-PROTO-001,current LOXFS Command/Signal catalog,Open,P0,source_owner,SRC-K117-001,authoritative catalog and revision,M1 command/signal coverage,Collect source path and hash,No actual IDs imported in Phase 0.
DEC-PROTO-002,ACK correlation rule,Open,P0,protocol_owner,SRC-PROTO-001,field or fields used to match ACK to packet,ACK/retry behavior,Review protocol source and legacy observations,Do not infer from packet type alone.
DEC-PROTO-003,exact CRC32 profile and test vectors,Open,P0,protocol_owner,SRC-PROTO-001,polynomial init xor reflection and vectors,Header/data validation,Collect source-backed vectors,Use placeholder interface only until closed.
DEC-NET-001,Gateway endpoint and channel mapping,Open,P0,network_owner,SRC-RSIDCFG-001;SRC-NETMAP-001,approved endpoint/channel model,UDP integration,Keep actual endpoints out of Git,Use local loopback profile only in Phase 0.
DEC-TIME-001,actual LOXFS scan cycle,Open,P0,system_owner,SRC-TIME-001,actual operating scan cycle,M2 timing behavior,Review node scan-cycle configuration,Keep supported values separate from actual.
DEC-RETRY-001,ACK timeout retry and link-off values,Open,P0,protocol_owner,SRC-PROTO-001,timeout max retry and link-off parameters,ACK/retry manager,Review protocol source and observations,TBD values must not be hard-coded.
DEC-STORAGE-001,external local artifact root,Open,P0,technical_owner,,approved non-repository and non-sync storage path,M1 readiness,Choose and approve LOXFS_CMD_SIG_LOCAL_ROOT outside source and sync roots,Do not record actual credentials endpoints or content.
DEC-REPO-001,nested Git repository disposition,Open,P0,technical_owner,,move repository outside parent Git or explicitly approve nested layout,M1 readiness,Review parent repository and nested layout risk,Do not auto-change parent repository or Git config.
DEC-VOTE-001,voting owner and disagreement handling,Open,P1,system_owner,SRC-K117-001,owner and behavior for channel disagreement,Fault injection oracle,Review K117 behavior and target requirements,No final acceptance judgment in scripts.
DEC-TAG-001,approved NetArrays Tag read/write method,Open,P1,netarrays_owner,SRC-NA-001,simulator-only tag access method,NetArrays simulator adapter,Define approval gate before simulator use,Force is prohibited by default.
DEC-LOG-001,packet and Tag trace schema,Open,P1,test_owner,SRC-PROTO-001,trace schema fields and retention rules,Trace recorder and replay,Define schema before M2/M3 evidence capture,No actual capture files in Git.
